ticker,company_name,trade_date,insider_name,insider_role,transaction_type,shares,price,value_usd,size_bucket,ret_10d
TLYS,"TILLY'S, INC.",2024-03-15,"Fund 1 Investments, LLC",TenPercentOwner,P,35000.0,7.01,245350.0,large_buy,0.0014430345064284644
TLYS,"TILLY'S, INC.",2024-03-15,Pleasant Lake Partners LLC,TenPercentOwner,P,35000.0,7.01,245350.0,large_buy,0.0014430345064284644
TLYS,"TILLY'S, INC.",2024-03-15,Pleasant Lake Onshore Feeder Fund LP,TenPercentOwner,P,35000.0,7.01,245350.0,large_buy,0.0014430345064284644
RNAC,"Cartesian Therapeutics, Inc.",2024-03-15,SPRINGER TIMOTHY A,"Director,TenPercentOwner",P,537500.0,0.59,317125.0,normal_buy,-0.03448278130022209
RNAC,"Cartesian Therapeutics, Inc.",2024-03-14,SPRINGER TIMOTHY A,"Director,TenPercentOwner",P,648372.0,0.54,350120.88,normal_buy,0.21495332878104856
ALHC,"Alignment Healthcare, Inc.",2024-03-14,KAO JOHN E,"Director,Officer",P,103000.0,4.82,496460.00000000006,large_buy,0.02904561441900122
STEM,"STEM, INC.",2024-03-15,Carlson Michael James,Officer,P,44882.0,1.75,78543.5,normal_buy,0.1405405611605257
STEM,"STEM, INC.",2024-03-14,Carlson Michael James,Officer,P,10118.0,1.75,17706.5,normal_buy,0.2303371099552245
DCGO,DocGo Inc.,2024-03-15,KATZ STEVEN,Director,P,13500.0,3.64,49140.0,large_buy,0.10382510030354064
MRBK,Meridian Corp,2024-03-01,Annas Christopher J.,"Director,Officer",P,2000.0,9.64,19280.0,normal_buy,-0.0057323603833114856
CLOV,"CLOVER HEALTH INVESTMENTS, CORP. /DE",2024-03-14,Loengard Anna U,Director,P,137000.0,0.73,100010.0,normal_buy,0.09517241855580494
LSF,"Laird Superfood, Inc.",2024-03-15,Naylor Maile,Director,P,8850.0,2.27,20089.5,normal_buy,-0.17445480876156327
AAOI,"APPLIED OPTOELECTRONICS, INC.",2024-03-18,Lin Chih-Hsiang (Thompson),"Director,Officer",P,11780.0,12.66,149134.8,normal_buy,0.03158711984174589
RBBN,Ribbon Communications Inc.,2024-03-15,GRAYSON BRUNS H,Director,P,100000.0,2.89,289000.0,large_buy,0.08503401195044713
MYO,"MYOMO, INC.",2024-03-14,KIRK THOMAS F,Director,P,50000.0,3.5,175000.0,large_buy,-0.04941862600761304
RICK,"RCI HOSPITALITY HOLDINGS, INC.",2024-03-15,LANGAN ERIC SCOTT,"Director,Officer",P,1000.0,54.54,54540.0,large_buy,0.04424451209674052
BSBK,Bogota Financial Corp.,2024-03-14,Masterson John J.,Director,P,1929.0,7.3,14081.699999999999,normal_buy,-0.030137022093236654
BSBK,Bogota Financial Corp.,2024-03-15,Masterson John J.,Director,P,1400.0,7.3,10220.0,normal_buy,-0.0410959154652657
SKYE,"Skye Bioscience, Inc.",2024-03-13,5AM Ventures II LP,TenPercentOwner,P,450000.0,10.0,4500000.0,normal_buy,0.3592416960505318
CE,Celanese Corp,2024-03-14,Kelly Thomas Francis,Officer,P,1400.0,156.7,219379.99999999997,large_buy,0.08937638828800498
SKYE,"Skye Bioscience, Inc.",2024-03-13,"5AM Ventures VII, L.P.",TenPercentOwner,P,450000.0,10.0,4500000.0,normal_buy,0.3592416960505318
SKYE,"Skye Bioscience, Inc.",2024-03-13,DIEKMAN JOHN D,TenPercentOwner,P,450000.0,10.0,4500000.0,normal_buy,0.3592416960505318
SKYE,"Skye Bioscience, Inc.",2024-03-13,ROCKLAGE SCOTT M,TenPercentOwner,P,450000.0,10.0,4500000.0,normal_buy,0.3592416960505318
SKYE,"Skye Bioscience, Inc.",2024-03-13,"5AM Partners VII, LLC",TenPercentOwner,P,450000.0,10.0,4500000.0,normal_buy,0.3592416960505318
SKYE,"Skye Bioscience, Inc.",2024-03-13,5AM CO-INVESTORS II LP,TenPercentOwner,P,450000.0,10.0,4500000.0,normal_buy,0.3592416960505318
SKYE,"Skye Bioscience, Inc.",2024-03-13,"5AM Partners II, LLC",TenPercentOwner,P,450000.0,10.0,4500000.0,normal_buy,0.3592416960505318
SKYE,"Skye Bioscience, Inc.",2024-03-13,PARMAR KUSH,TenPercentOwner,P,450000.0,10.0,4500000.0,normal_buy,0.3592416960505318
TALO,TALOS ENERGY INC.,2024-03-13,Control Empresarial de Capitales S.A. de C.V.,"TenPercentOwner,Other",P,468729.0,12.77,5985669.33,normal_buy,0.0499999706561749
TALO,TALOS ENERGY INC.,2024-03-14,Control Empresarial de Capitales S.A. de C.V.,"TenPercentOwner,Other",P,645838.0,12.8,8266726.4,large_buy,0.08658351300895117
TPL,Texas Pacific Land Corp,2024-03-14,Roosa Robert M.,Director,P,10.0,1646.22,16462.2,normal_buy,0.056440082892325716
TPL,Texas Pacific Land Corp,2024-03-14,Roosa Robert M.,Director,P,37.0,1642.68,60779.16,normal_buy,0.056440082892325716
TPL,Texas Pacific Land Corp,2024-03-14,Roosa Robert M.,Director,P,58.0,1634.0,94772.0,normal_buy,0.056440082892325716
TPL,Texas Pacific Land Corp,2024-03-14,Roosa Robert M.,Director,P,9.0,1646.42,14817.78,normal_buy,0.056440082892325716
TPL,Texas Pacific Land Corp,2024-03-14,Roosa Robert M.,Director,P,26.0,1642.79,42712.54,normal_buy,0.056440082892325716
TPL,Texas Pacific Land Corp,2024-03-14,Roosa Robert M.,Director,P,60.0,1634.0,98040.0,normal_buy,0.056440082892325716
TPL,Texas Pacific Land Corp,2024-03-14,Roosa Robert M.,Director,P,45.0,1648.5,74182.5,normal_buy,0.056440082892325716
TPL,Texas Pacific Land Corp,2024-03-14,Roosa Robert M.,Director,P,41.0,1648.35,67582.34999999999,normal_buy,0.056440082892325716
PSIX,"POWER SOLUTIONS INTERNATIONAL, INC.",2024-03-01,Gagnon Neil,TenPercentOwner,P,5000.0,2.0,10000.0,normal_buy,0.05882359128509962
BHRB,Burke & Herbert Financial Services Corp.,2024-03-15,Barnwell Julian Forrest Jr.,Director,P,3000.0,52.0,156000.0,large_buy,0.042577475309615975
BH,Biglari Holdings Inc.,2024-03-12,"LION FUND, L.P.",TenPercentOwner,P,659.0,191.17,125981.03,normal_buy,-0.019670387794373356
BH,Biglari Holdings Inc.,2024-03-12,"BIGLARI, SARDAR","Director,Officer,TenPercentOwner",P,659.0,191.17,125981.03,normal_buy,-0.019670387794373356
BH,Biglari Holdings Inc.,2024-03-12,BIGLARI CAPITAL CORP.,TenPercentOwner,P,659.0,191.17,125981.03,normal_buy,-0.019670387794373356
BH,Biglari Holdings Inc.,2024-03-13,"LION FUND, L.P.",TenPercentOwner,P,940.0,194.1,182454.0,normal_buy,-0.02778493343482258
BH,Biglari Holdings Inc.,2024-03-13,"BIGLARI, SARDAR","Director,Officer,TenPercentOwner",P,940.0,194.1,182454.0,normal_buy,-0.02778493343482258
BH,Biglari Holdings Inc.,2024-03-13,BIGLARI CAPITAL CORP.,TenPercentOwner,P,940.0,194.1,182454.0,normal_buy,-0.02778493343482258
BH,Biglari Holdings Inc.,2024-03-12,"LION FUND, L.P.",TenPercentOwner,P,497.0,950.54,472418.38,normal_buy,-0.019670387794373356
BH,Biglari Holdings Inc.,2024-03-12,"BIGLARI, SARDAR","Director,Officer,TenPercentOwner",P,497.0,950.54,472418.38,normal_buy,-0.019670387794373356
BH,Biglari Holdings Inc.,2024-03-12,BIGLARI CAPITAL CORP.,TenPercentOwner,P,497.0,950.54,472418.38,normal_buy,-0.019670387794373356
BH,Biglari Holdings Inc.,2024-03-13,"LION FUND, L.P.",TenPercentOwner,P,69.0,976.62,67386.78,normal_buy,-0.02778493343482258
BH,Biglari Holdings Inc.,2024-03-13,"BIGLARI, SARDAR","Director,Officer,TenPercentOwner",P,69.0,976.62,67386.78,normal_buy,-0.02778493343482258
BH,Biglari Holdings Inc.,2024-03-13,BIGLARI CAPITAL CORP.,TenPercentOwner,P,69.0,976.62,67386.78,normal_buy,-0.02778493343482258
PBPB,POTBELLY CORP,2024-03-12,Cirulis Steven,Officer,P,1000.0,11.65,11650.0,normal_buy,0.05316448442919497
AXR,AMREP CORP.,2024-03-13,Lancaster Rainey E.,TenPercentOwner,P,2000.0,23.38,46760.0,normal_buy,-0.021052631578947323
AXR,AMREP CORP.,2024-03-13,DAHL JAMES H,TenPercentOwner,P,2000.0,23.38,46760.0,normal_buy,-0.021052631578947323
HWBK,"HAWTHORN BANCSHARES, INC.",2024-03-14,Holtaway Jonathan,Director,P,5500.0,19.12,105160.0,normal_buy,0.08901932085459752
STAA,STAAR SURGICAL CO,2024-03-14,WEISNER AIMEE S,Director,P,1750.0,38.11,66692.5,normal_buy,0.00657375777082847
DCGO,DocGo Inc.,2024-03-14,Burdiek Michael J,Director,P,10000.0,3.61,36100.0,normal_buy,0.13483146819904634
TISI,TEAM INC,2024-03-12,Stenger Edward J.,Director,P,4000.0,5.81,23240.0,normal_buy,0.25636360862038354
LPSN,LIVEPERSON INC,2024-03-12,Wesemann William,Director,P,100000.0,1.0,100000.0,normal_buy,0.029703021403977292
GSAT,"Globalstar, Inc.",2024-03-12,Lynch James F,Director,P,660000.0,1.44,950400.0,normal_buy,-0.07534244964708392
GSAT,"Globalstar, Inc.",2024-03-11,Lynch James F,Director,P,660000.0,1.42,937200.0,normal_buy,-0.03496503372138915
RAND,RAND CAPITAL CORP,2024-03-12,Godley Benjamin E,Director,P,1965.0,13.95,27411.75,large_buy,-0.005763850549878158
OPK,"OPKO HEALTH, INC.",2024-03-13,FROST PHILLIP MD ET AL,"Director,Officer,TenPercentOwner",P,500000.0,0.93,465000.0,normal_buy,0.163043514175766
OPK,"OPKO HEALTH, INC.",2024-03-13,Frost Gamma Investments Trust,TenPercentOwner,P,500000.0,0.93,465000.0,normal_buy,0.163043514175766
MX,MAGNACHIP SEMICONDUCTOR Corp,2024-03-11,Kim Theodore S,Officer,P,5000.0,5.6,28000.0,normal_buy,-0.03074142311828898
MX,MAGNACHIP SEMICONDUCTOR Corp,2024-03-12,Kim Theodore S,Officer,P,2000.0,5.55,11100.0,normal_buy,0.010909080505371094
RM,Regional Management Corp.,2024-03-11,"BASSWOOD CAPITAL MANAGEMENT, L.L.C.","Director,TenPercentOwner,Other",P,1882.0,24.59,46278.38,normal_buy,0.0045568854461486286
RM,Regional Management Corp.,2024-03-11,LINDENBAUM MATTHEW A,"Director,TenPercentOwner,Other",P,1882.0,24.59,46278.38,normal_buy,0.0045568854461486286
